Verbosity Control,Metric,Top1 Index,Top1 Count (all files),Top1 Answers from each file,Top2 Index,Top2 Count (all files),Top2 Answers from each file,Top3 Index,Top3 Count (all files),Top3 Answers from each file
Answer the following question with a concise answer.,rouge2_f1,16,3,"[['The Monterrey Steel were the first Mexican team to play in a U.S.-based arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team to play in an American arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team in American indoor football leagues.']]",11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",6,2,"[['Netscape Internet Service no longer exists. The Netscape brand name is owned by **AOL (now part of Yahoo)**.'], [], ['Netscape Internet Service was provided by **Netscape Communications Corporation** and was an **Internet service provider (ISP)**.']]"
Answer the following question without unnecessary details.,rouge2_f1,11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",4,2,"[['The Call-Up recorded their self-titled EP in 2007 at Studio 45 in Hartford, CT with Nick Bellmore.'], [], ['The Call-Up recorded their self-titled EP ""Undecided"" in 2005 at Salad Days Studio with Brian McTernan.']]",15,2,"[[], ['Amsterdamsche FC was founded in 1895 and currently plays in the Tweede Divisie.'], ['Amsterdamsche FC was founded in 1895 and currently competes in the Tweede Divisie.']]"
Answer the following question.,rouge2_f1,11,3,"[['Gregory Jim Rutherford Polanco is a Dominican professional baseball outfielder who last played for the Toronto Blue Jays organization. He previously played in Major League Baseball (MLB) for the Pittsburgh Pirates.'], ['Gregory Jim Rutherford Polanco is a Dominican professional baseball outfielder. He played in Major League Baseball (MLB) for the Pittsburgh Pirates.'], ['Full name: Gregory Jim Rutherford Polanco Profession: Professional baseball player Nationality: Dominican']]",4,3,"[['The Call-Up recorded their self-titled EP in **December 2006** at **The Farm** in Vancouver, BC. **Shawn Penner** helped them with the recording.'], ['The Call-Up recorded their self-titled EP in **2006** at **The Farm** in Vancouver, BC. **Shawn Penner** helped them with the recording.'], ['The Call-Up recorded their self-titled EP ""Undecided"" in **2005** at **The Blasting Room** in **Fort Collins, Colorado**. They were assisted by **Bill Stevenson** and **Jason Livermore**.']]",10,2,"[['At physiological PEP concentrations, the dimeric form of M2-PK exhibits **low activity**.'], [], ['At physiological PEP concentrations, the dimeric form of M2-PK exhibits **low activity**.']]"
Answer the following question. Keep your answer short.,rouge2_f1,11,3,"[['Gregory Polanco is a Dominican professional baseball outfielder.'], ['Gregory Polanco is a Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco is a baseball player from the Dominican Republic.']]",16,2,"[['The Monterrey Steel were the first Mexican team to play in a U.S.-based arena/indoor football league.'], [], ['The Monterrey Steel were the first Mexican team in an American indoor football league.']]",9,2,"[['The Tel Aviv Gillette Marathon is a running event open to the general public.'], ['The Tel Aviv Gillette Marathon is a running event open to the general public.'], []]"
Directly answer the following question.,rouge2_f1,10,3,"[['At physiological PEP concentrations, the dimeric form of M2-PK exhibits low activity.'], ['The dimeric form of M2-PK has a **low affinity for phosphoenolpyruvate (PEP)** and exhibits **low activity at physiological PEP concentrations.**'], ['At physiological PEP concentrations, the dimeric form of M2-PK exhibits low activity.']]",16,2,"[['The Monterrey Steel were the first Mexican team to play in an American arena/indoor football league.'], [], ['The Monterrey Steel were the first Mexican team to play in an American indoor football league.']]",11,2,"[['Gregory Polanco is a Dominican professional baseball outfielder.'], ['Gregory Polanco is a Dominican professional baseball outfielder.'], []]"
Provide a direct and concise answer to the following question without adding extra context or explanation.,rouge2_f1,11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",4,3,"[['The Call-Up recorded their self-titled EP in 2006 at Studio 45 in Hartford, CT with Nick Bellmore.'], ['The Call-Up recorded their self-titled EP in 2007 at Studio 45 in Hartford, CT with Nick Bellmore.'], ['The Call-Up recorded their self-titled EP ""Undecided"" in 2005 at Studio 13 with Bill Stevenson and Jason Livermore.']]",6,1,"[['Netscape Internet Service no longer exists. The Netscape brand name is owned by AOL (now part of Yahoo).'], [], []]"
"Provide a direct and concise answer to the following question. Avoid any additional context, explanations, or unnecessary details.",rouge2_f1,11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",4,2,"[['The Call-Up recorded their self-titled EP in 2007 at Studio 13 with Chris Beeble.'], [], ['The Call-Up recorded their self-titled EP ""Undecided"" in 2005 at The Blasting Room with Andrew Berlin.']]",19,2,"[[], ['Sensory Stimulation Therapy (SS) is therapy that aims to stimulate one or more of the five senses.'], ['Sensory Stimulation Therapy (SS) is therapy that aims to stimulate one or more of the five senses.']]"
Answer the following question with a concise answer.,rougeL_f1,11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",16,2,"[['The Monterrey Steel were the first Mexican team to play in a U.S.-based arena/indoor football league.'], [], ['The Monterrey Steel were the first Mexican team in American indoor football leagues.']]",4,1,"[['The Call-Up recorded their self-titled EP in 2007 at Studio 4 in Conshohocken, PA, with Will Yip.'], [], []]"
Answer the following question without unnecessary details.,rougeL_f1,11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",4,2,"[['The Call-Up recorded their self-titled EP in 2007 at Studio 45 in Hartford, CT with Nick Bellmore.'], [], ['The Call-Up recorded their self-titled EP ""Undecided"" in 2005 at Salad Days Studio with Brian McTernan.']]",6,1,"[['Netscape Internet Service is defunct. The Netscape brand name is owned by AOL (now part of Yahoo).'], [], []]"
Answer the following question.,rougeL_f1,11,3,"[['Gregory Jim Rutherford Polanco is a Dominican professional baseball outfielder who last played for the Toronto Blue Jays organization. He previously played in Major League Baseball (MLB) for the Pittsburgh Pirates.'], ['Gregory Jim Rutherford Polanco is a Dominican professional baseball outfielder. He played in Major League Baseball (MLB) for the Pittsburgh Pirates.'], ['Full name: Gregory Jim Rutherford Polanco Profession: Professional baseball player Nationality: Dominican']]",15,2,"[[], ['Amsterdamsche FC was founded on **January 18, 1895**. They currently play in the **Tweede Divisie**, which is the third tier of Dutch football.'], ['Amsterdamsche FC was founded on **January 18, 1895**. They currently compete in the **Tweede Divisie**, the third tier of Dutch football.']]",16,1,"[['The Monterrey Steel achieved the following historical firsts in American arena/indoor football leagues:  *   **First Mexican-based team to play in a U.S.-based arena/indoor football league:** The Steel were the first team based in Mexico to join and compete in a U.S. arena/indoor football league, specifically the National Arena League (NAL).'], [], []]"
Answer the following question. Keep your answer short.,rougeL_f1,11,3,"[['Gregory Polanco is a Dominican professional baseball outfielder.'], ['Gregory Polanco is a Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco is a baseball player from the Dominican Republic.']]",16,1,"[['The Monterrey Steel were the first Mexican team to play in a U.S.-based arena/indoor football league.'], [], []]",9,1,"[['The Tel Aviv Gillette Marathon is a running event open to the general public.'], [], []]"
Directly answer the following question.,rougeL_f1,16,3,"[['The Monterrey Steel were the first Mexican team to play in an American arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team to play in an American arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team to play in an American indoor football league.']]",11,2,"[['Gregory Polanco is a Dominican professional baseball outfielder.'], ['Gregory Polanco is a Dominican professional baseball outfielder.'], []]",9,2,"[['The Tel Aviv Gillette Marathon is a running event, and anyone is allowed to participate.'], [], ['The Tel Aviv Gillette Marathon is a running event, and anyone is allowed to participate, though there may be age restrictions for certain distances.']]"
Provide a direct and concise answer to the following question without adding extra context or explanation.,rougeL_f1,11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",6,2,"[['Netscape Internet Service no longer exists. The Netscape brand name is owned by AOL (now part of Yahoo).'], ['Netscape Internet Service no longer exists. It was an internet service provider (ISP) owned by AOL.'], []]",4,2,"[['The Call-Up recorded their self-titled EP in 2006 at Studio 45 in Hartford, CT with Nick Bellmore.'], [], ['The Call-Up recorded their self-titled EP ""Undecided"" in 2005 at Studio 13 with Bill Stevenson and Jason Livermore.']]"
"Provide a direct and concise answer to the following question. Avoid any additional context, explanations, or unnecessary details.",rougeL_f1,11,3,"[['A Dominican professional baseball outfielder.'], ['A Dominican professional baseball outfielder.'], ['Gregory Jim Rutherford Polanco, baseball player, Dominican.']]",4,2,"[['The Call-Up recorded their self-titled EP in 2007 at Studio 13 with Chris Beeble.'], [], ['The Call-Up recorded their self-titled EP ""Undecided"" in 2005 at The Blasting Room with Andrew Berlin.']]",19,2,"[[], ['Sensory Stimulation Therapy (SS) is therapy that aims to stimulate one or more of the five senses.'], ['Sensory Stimulation Therapy (SS) is therapy that aims to stimulate one or more of the five senses.']]"
Answer the following question with a concise answer.,bert_f1,16,3,"[['The Monterrey Steel were the first Mexican team to play in a U.S.-based arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team to play in an American arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team in American indoor football leagues.']]",19,1,"[['Sensory Stimulation Therapy (SS) involves providing controlled sensory experiences to stimulate the senses. Its aim is to improve awareness, cognitive function, and overall well-being, particularly in individuals with cognitive impairments.'], [], []]",6,1,"[['Netscape Internet Service no longer exists. The Netscape brand name is owned by **AOL (now part of Yahoo)**.'], [], []]"
Answer the following question without unnecessary details.,bert_f1,16,3,"[['First Mexican team in a U.S.-based arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team in a U.S.-based arena/indoor football league.'], ['The Monterrey Steel was the first Mexican team in American indoor football leagues.']]",19,2,"[['Sensory Stimulation Therapy involves providing controlled sensory input. Its aim is to improve awareness, responsiveness, and overall well-being.'], [], ['Sensory Stimulation Therapy aims to improve awareness and responsiveness through controlled sensory input.']]",6,1,"[['Netscape Internet Service is defunct. The Netscape brand name is owned by AOL (now part of Yahoo).'], [], []]"
Answer the following question.,bert_f1,16,2,"[['The Monterrey Steel achieved the following historical firsts in American arena/indoor football leagues:  *   **First Mexican-based team to play in a U.S.-based arena/indoor football league:** The Steel were the first team based in Mexico to join and compete in a U.S. arena/indoor football league, specifically the National Arena League (NAL).'], ['The Monterrey Steel hold the distinction of being the **first professional arena/indoor football team based in Mexico to play in a U.S.-based league.** They were part of the National Arena League (NAL).'], []]",10,2,"[['At physiological PEP concentrations, the dimeric form of M2-PK exhibits **low activity**.'], [], ['At physiological PEP concentrations, the dimeric form of M2-PK exhibits **low activity**.']]",7,2,"[['Sam Glucksberg was trying to determine whether people take longer to process figurative language (like metaphors) compared to literal language. He was investigating if understanding metaphors involved an extra processing stage beyond simply understanding the literal meaning of the words.'], ['Sam Glucksberg was trying to determine whether people take longer to process figurative language (like metaphors) compared to literal language. He was investigating if understanding metaphors involved an extra processing stage beyond simply understanding the literal meaning of the words.'], []]"
Answer the following question. Keep your answer short.,bert_f1,16,2,"[['The Monterrey Steel were the first Mexican team to play in a U.S.-based arena/indoor football league.'], [], ['The Monterrey Steel were the first Mexican team in an American indoor football league.']]",9,2,"[['The Tel Aviv Gillette Marathon is a running event open to the general public.'], ['The Tel Aviv Gillette Marathon is a running event open to the general public.'], []]",19,1,"[['Sensory Stimulation Therapy (SS) involves providing controlled sensory input to stimulate the senses. Its aim is to improve awareness, arousal, and cognitive function, particularly in individuals with neurological impairments.'], [], []]"
Directly answer the following question.,bert_f1,16,3,"[['The Monterrey Steel were the first Mexican team to play in an American arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team to play in an American arena/indoor football league.'], ['The Monterrey Steel were the first Mexican team to play in an American indoor football league.']]",9,3,"[['The Tel Aviv Gillette Marathon is a running event, and anyone is allowed to participate.'], ['The Tel Aviv Gillette Marathon is a road running event. Anyone who meets the age requirements and registration criteria is allowed to participate.'], ['The Tel Aviv Gillette Marathon is a running event, and anyone is allowed to participate, though there may be age restrictions for certain distances.']]",10,2,"[[], ['The dimeric form of M2-PK has a **low affinity for phosphoenolpyruvate (PEP)** and exhibits **low activity at physiological PEP concentrations.**'], ['At physiological PEP concentrations, the dimeric form of M2-PK exhibits low activity.']]"
